                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2857,                 4.0429,                0.90751,                 0.0021,                0.27954,                0.20267,                0.14849,                 1.0511,                 4.0891,                0.84999,              0.0004078,              0.0004078,              0.0004078
                      2,                 1.1448,                 2.3035,                0.86172,                0.95349,                0.38177,                 0.7172,                0.49684,                 1.0213,                 2.7074,                0.85739,             0.00055239,             0.00055239,             0.00055239
                      3,                 1.0189,                 1.8711,                  0.853,                0.89605,                0.72643,                0.83236,                 0.5996,                0.96895,                 1.7417,                0.84598,             0.00042199,             0.00042199,             0.00042199
