                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2857,                 4.0429,                0.90751,                0.00208,                0.27862,                0.19638,                0.14321,                 1.0498,                 4.0889,                 0.8462,              0.0004078,              0.0004078,              0.0004078
                      2,                 1.1448,                 2.3035,                0.86172,                0.95053,                0.39377,                0.71795,                0.49509,                 1.0158,                 2.7085,                0.85335,             0.00055239,             0.00055239,             0.00055239
                      3,                 1.0189,                 1.8711,                  0.853,                0.88829,                 0.7233,                0.83254,                0.60141,                0.95665,                 1.7251,                0.84097,             0.00042199,             0.00042199,             0.00042199
